property_type,place,area,furnishing_details,society,bedrooms,bathroom,balcony,price_per_sqft,price,latitude,longitude
house,vatva,801.0,unfurnished,,3,3.0,1.0,11860.0,0.95,22.9589978,72.6297981
house,ghuma,7200.0,furnished,,6,6.0,3.0,13750.0,9.9,23.0295113,72.4506006
house,gota,1575.0,unfurnished,kirti bungalows,3,4.0,3.0,15873.0,2.5,23.1010002,72.5408363
house,sanand,2160.0,furnished,paramba parambaug,2,2.0,1.0,13657.0,2.95,23.0238876,72.3851475
house,motera,1350.0,furnished,,3,3.0,1.0,14815.0,2.0,23.0917717,72.59733447335586
house,thaltej,4050.0,unfurnished,royal kadamb,4,4.0,2.0,21605.0,8.75,23.0485393,72.511742
house,sardar patel ring road,4068.0,unfurnished,applewoods villas,4,5.0,3.0,8628.0,3.51,22.96754445,72.66035875
house,bopal,3600.0,semi-furnished,,3,3.0,3.0,7639.0,2.75,23.02353855,72.47052697610516
house,sanand,1215.0,furnished,prerna aashtamangal,3,3.0,1.0,5761.0,0.7,23.0238876,72.3851475
house,shela,3276.0,semi-furnished,sky city floris,4,4.0,4.0,9829.0,3.22,23.0108213,72.44271186959236
house,bopal,200.0,semi-furnished,baleshwar gold,4,4.0,2.0,100000.0,2.0,23.02353855,72.47052697610516
house,south bopal,2475.0,furnished,,4,4.0,4.0,12323.0,3.05,23.02353855,72.47052697610516
house,ghatlodiya,2880.0,furnished,,5,5.0,2.0,6944.0,2.0,23.075569,72.549728
house,bodakdev,4050.0,furnished,samarpan bunglows,4,4.0,1.0,11111.0,4.5,23.0445921,72.517344
house,nava vadaj,4320.0,semi-furnished,,4,3.0,2.0,12731.0,5.5,23.0682238,72.5640995
house,vaishnodevi circle,8100.0,unfurnished,adani the north park,5,5.0,2.0,19136.0,15.5,23.136343132120857,72.54237623802707
house,naroda,900.0,unfurnished,,1,1.0,1.0,7222.0,0.65,23.0732586,72.6508299
house,satellite,1935.0,semi-furnished,devpriya bungalows 2,4,4.0,1.0,16072.0,3.11,23.027602360651706,72.52116979489662
house,memnagar,5400.0,furnished,,5,5.0,5.0,7981.0,4.31,23.0516973,72.535169
house,ambli,6750.0,semi-furnished,,5,6.0,4.0,0.0,7.5,23.02871785,72.48164295008098
house,thaltej,1800.0,furnished,shree siddhi shiv ganesh 2,3,3.0,2.0,16667.0,3.0,23.0485393,72.511742
house,bopal shilaj road,2070.0,furnished,,4,3.0,2.0,9662.0,2.0,23.0338764,72.4777442466312
house,maninagar,3150.0,furnished,,5,4.0,3.0,10000.0,3.15,22.9986596,72.6114013
